ID,Storm_Name,Year,Tier,Overall,Category,peak_wind_mph,min_pressure_mb,ace,duration_hours,fatalities,wind_pct,pres_pct,ace_pct,dur_pct,fat_pct,image_url
AL151995,MARILYN,1995,Gold,80,3,115,949,23.05,252,,83.1,90.7,89.3,87.5,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/66/Marilyn_1995-09-16_1720Z.png/1280px-Marilyn_1995-09-16_1720Z.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL041998,DANIELLE,1998,Gold,80,2,104,960,28.09,336,,79.4,84.8,93.5,95.9,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/73/Danielle_1998-08-31_1715Z.png/1280px-Danielle_1998-08-31_1715Z.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL031999,BRET,1999,Gold,80,4,144,944,11.6,96,7,95.6,92.2,74.9,47.9,34.6,https://upload.wikimedia.org/wikipedia/commons/6/6c/Bret_08-22-1999_1431Z_%28cropped%29.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
AL062001,ERIN,2001,Gold,80,3,121,968,22.4,354,,88,80,88.9,97,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/48/Erin_2001-09-09_1527Z.jpg/1280px-Erin_2001-09-09_1527Z.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL152008,OMAR,2008,Gold,80,4,132,958,9.27,114,,92.4,85.3,69.1,54.9,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8a/Omar_2008-10-16.jpg/1280px-Omar_2008-10-16.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL172008,PALOMA,2008,Gold,80,4,144,944,9.2,78,,94.7,92.5,69,42.1,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a0/Paloma_2008-11-08_1835Z_%28cropped%29.jpg/1280px-Paloma_2008-11-08_1835Z_%28cropped%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL041851,Hurricane Four,1851,Gold,79,3,115,,21.83,282,,82.7,86,88.4,91.2,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4f/Four_1851_path.png/1280px-Four_1851_path.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL031854,Hurricane Three,1854,Gold,79,3,127,938,17.58,138,,90.6,94.8,83.7,63.9,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f3/Three_1854_path.png/1280px-Three_1854_path.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL021857,Hurricane Two,1857,Gold,79,2,104,961,22.93,276,,75.4,84,89.3,90.6,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/74/Two_1857_path.png/1280px-Two_1857_path.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL061859,Hurricane Six,1859,Gold,79,3,127,938,19.56,114,,90.2,94.7,85.9,53.9,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/55/Six_1859_path.png/1280px-Six_1859_path.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL061870,Hurricane Six,1870,Gold,79,3,115,959,25.88,234,,82.8,85.2,91.5,85,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ec/Hurricane_of_October_7%2C_1870%2C_map.jpg/1280px-Hurricane_of_October_7%2C_1870%2C_map.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL031871,Hurricane Three,1871,Gold,79,3,115,952,21,228,,82.8,89.4,87.8,84.1,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/09/Three_1871_path.png/1280px-Three_1871_path.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL021872,Hurricane Two,1872,Gold,79,2,104,,27.35,330,,77.6,76.5,93,95.6,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/85/Two_1872_path.png/1280px-Two_1872_path.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
